,chemicalFormula,Band gap value,Band gap units,Band gap method
0,Li1F1,13.6,eV,Reflection
1,Li1F1,12.61,eV,Reflection
2,Li1F1,12.6,eV,Estimated
3,Li1F1,12.1,eV,Absorption
4,Li1F1,12,eV,Absorption
5,Li1F1,11.7,eV,Absorption
6,Li1Cl1,9.33,eV,Reflection
7,Li1Br1,7.95,eV,Absorption
8,Li1Br1,7.5,eV,Reflection
9,Li3Sb1,1,eV,Thermal activation
10,Li1I1,6,eV,Reflection
11,Li1I1,6,eV,Estimated
12,Li1I1,5.62,eV,Absorption
13,Li1I1,5.9,eV,Absorption
14,Li1I1,6.3,eV,Estimated
15,Li3Bi1,0.7,eV,Thermal activation
16,Be1O1,10.39,eV,Reflection
17,Be1O1,10.57,eV,Reflection
18,Be1O1,11.2,eV,Reflection
19,Be1O1,11.6,eV,
20,Be1O1,14.5,eV,
21,Be1O1,5.2,eV,Thermal activation
22,Be1S1,4.17,eV,SCOPW
23,Be1Se1,3.61,eV,SCOPW
24,Be3Sb2,0.67,eV,Thermal activation
25,Be1Te1,2.89,eV,SCOPW
26,B1,0.93,eV,Absorption
27,B1,1.47,eV,Absorption
28,B1,1.53,eV,Absorption
29,B1,0.74,eV,Absorption
30,B1,1.16,eV,Photoconduction
31,B1,1.27,eV,Thermal activation
32,B1,1.38,eV,Absorption
33,B1,1.41,eV,Photoconduction
34,B1,1.42,eV,Thermal activation
35,B1,1.44,eV,Photoconduction
36,B1,1.55,eV,Thermal activation
37,B1N1,8,eV,APW
38,B1N1,3.4,eV,
39,B1N1,3.8,eV,Absorption
40,B2O3,7,eV,
41,B2O3,4.9,eV,
42,B1P1,2,eV,Absorption
43,B1P1,2,eV,
44,B1P1,2,eV,Absorption
45,B1P1,5.9,eV,
46,B1P1,4.5,eV,
47,B1As1,1.46,eV,Absorption
48,B1As1,1.6,eV,SCOPW
49,B1As1,3.56,eV,SCOPW
51,B1Sb1,2.6,eV,
52,C,5.47,eV,Absorption
53,C,7.02,eV,Reflection
54,C,5.413,eV,Photoconduction
55,C,5.493,eV,Photoconduction
56,C,5.503,eV,Photoconduction
57,C,5.542,eV,Photoconduction
58,C,5.41,eV,Absorption
59,C,6,eV,
60,C1Br4,3.7,eV,Absorption
61,C1I4,2.26,eV,Absorption
63,Na1F1,10.5,eV,
64,Na2S1,2.4,eV,Estimated
65,Na1Cl1,8.97,eV,Absorption
66,Na1Cl1,8.5,eV,Reflection
67,Na1Cl1,8.6,eV,Reflection
68,Na1Cl1,8.97,eV,Reflection
69,Na1Cl1,8.4,eV,Absorption
70,Na1Cl1,8.6,eV,Absorption
71,Na2Se1,2,eV,Estimated
72,Na1Br1,7.5,eV,Absorption
73,Na1Br1,7.26,eV,Reflection
74,Na1Br1,7.025,eV,Reflection
75,Na1Br1,7.7,eV,Absorption
76,Na3Sb1,1.1,eV,Absorption
77,Na3Sb1,1.1,eV,Absorption
78,Na3Sb1,1.1,eV,Photoconduction
79,Na3Sb1,1.17,eV,Thermal activation
80,Na3Sb1,1,eV,Photoconduction
81,Na3Sb1,2.2,eV,Absorption
82,Na2Te1,2.3,eV,Thermal activation
83,Na2Te1,2,eV,Estimated
84,Na1I1,5.89,eV,Reflection
85,Na1I1,6,eV,Absorption
86,Na1I1,5.93,eV,Reflection
87,Na1I1,5.8,eV,Absorption
88,Na1I1,6.75,eV,Absorption
89,Mg1O1,7.77,eV,Reflection
90,Mg1O1,7.69,eV,Reflection
91,Mg1O1,7.4,eV,Absorption
92,Mg1F2,11.8,eV,Reflection
93,Mg1F2,11.1,eV,Absorption
94,Mg1F2,10.8,eV,Absorption
95,Mg1F2,5.65,eV,Thermal activation
97,Mg2Si1,0.6,eV,Estimated
98,Mg2Si1,2.27,eV,Electroreflection
99,Mg2Si1,0.77,eV,Thermal activation
100,Mg2Si1,0.78,eV,
101,Mg2Si1,0.655,eV,Photoconduction
102,Mg2Si1,2.17,eV,Reflection
103,Mg2Si1,0.66,eV,Absorption
104,Mg2Si1,2.27,eV,Electroreflection
105,Mg3P2,1.4,eV,Estimated
107,Mg2Ge1,0.532,eV,Absorption
108,Mg2Ge1,1.64,eV,Electroreflection
109,Mg2Ge1,0.69,eV,Thermal activation
110,Mg2Ge1,0.57,eV,Absorption
111,Mg2Ge1,1.804,eV,
112,Mg2Ge1,0.66,eV,Photoconduction
113,Mg2Ge1,0.567,eV,Absorption
114,Mg2Ge1,0.57,eV,
115,Mg2Ge1,1.67,eV,Reflection
116,Mg2Ge1,1.78,eV,
117,Mg2Ge1,0.63,eV,Photoconduction
118,Mg2Ge1,0.54,eV,
119,Mg2Ge1,1.737,eV,
120,Mg2Ge1,0.548,eV,Absorption
121,Mg2Ge1,1.64,eV,Electroreflection
122,Mg2Ge1,0.74,eV,Thermal activation
123,Mg3As2,2.55,eV,Thermal activation
124,Mg3As2,1,eV,Estimated
125,Mg1Se1,5.6,eV,Absorption
126,Mg1Se1,5.63,eV,Absorption
127,Mg1Se1,5.6,eV,
128,Mg2Sn1,0.135,eV,Absorption
129,Mg2Sn1,0.18,eV,Reflection
130,Mg2Sn1,0.185,eV,Absorption
131,Mg2Sn1,0.23,eV,Absorption
132,Mg2Sn1,0.34,eV,
133,Mg2Sn1,0.36,eV,Thermal activation
134,Mg2Sn1,0.33,eV,Absorption
135,Mg2Sn1,0.31,eV,Absorption
136,Mg2Sn1,0.22,eV,Absorption
137,Mg3Sb2,0.82,eV,
138,Mg3Sb2,0.8,eV,
139,Mg1Te1,4.7,eV,
140,Mg1Te1,3.6,eV,Absorption
141,Mg2Pb1,0.041,eV,Thermal activation
142,Mg2Pb1,0.1,eV,Thermal activation
143,Mg2Pb1,0.1,eV,Estimated
144,Mg3Bi2,0.1,eV,Estimated
145,Mg3Bi2,0.1,eV,Thermal activation
146,Al1B1,0.82,eV,Thermal activation
147,Al1B1,0.5,eV,Thermal activation
148,Al1B1,0.74,eV,Thermal activation
149,Al1N1,5.74,eV,Absorption
150,Al1N1,5.88,eV,Absorption
151,Al1N1,5.9,eV,Absorption
152,Al1N1,5.9,eV,Absorption
153,Al2O3,9.5,eV,Absorption
154,Al2O3,9.9,eV,Absorption
155,Al2O3,8.7,eV,Absorption
156,Al2O3,8.56,eV,
157,Al2O3,7,eV,Photoconduction
158,Al2O3,7.3,eV,Thermal activation
159,Al1P1,2.45,eV,Absorption
160,Al1P1,2.51,eV,Absorption
161,Al1P1,2.42,eV,
162,Al1P1,2.65,eV,Estimated
163,Al2S3,4.1,eV,Absorption
164,Al1As1,2.1,eV,
165,Al1As1,2.9,eV,
166,Al1As1,2.25,eV,
167,Al1As1,2.228,eV,Absorption
168,Al1As1,2.223,eV,Absorption
169,Al1As1,2.205,eV,Absorption
170,Al1As1,2.13,eV,
171,Al1As1,2.16,eV,Absorption
172,Al1As1,2.2,eV,Absorption
173,Al1As1,3.5,eV,
174,Al1As1,2.233,eV,Absorption
175,Al1As1,2.215,eV,Absorption
176,Al2Se3,3.1,eV,Absorption
177,Al1Sb1,1.62,eV,Reflection
178,Al1Sb1,2.218,eV,Reflection
179,Al1Sb1,1.62,eV,Reflection
180,Al1Sb1,1.6,eV,
181,Al2Te3,2.5,eV,Absorption
182,Al2Te3,2.5,eV,Thermal activation
183,Al2Te3,2.2,eV,Thermal activation
184,Al1Bi1,0.4,eV,Estimated
185,Si1C1,2.2,eV,Absorption
186,Si1C1,2.86,eV,Absorption
187,Si1C1,2.39,eV,Absorption
188,Si1C1,2.6,eV,Absorption
189,Si1C1,2.86,eV,Absorption
190,Si1C1,3.33,eV,Absorption
191,Si1C1,4.4,eV,Estimated
192,Si3N4,5,eV,
193,Si3N4,5.1,eV,Absorption
194,Si3N4,4.5,eV,Absorption
195,Si1O2,11,eV,Reflection
196,Si1O2,10.4,eV,Reflection
197,Si1O2,8,eV,Absorption
198,Si1O2,8.4,eV,Absorption
199,Si,1.12,eV,Absorption
200,Si,1.166,eV,
201,Si,1.17,eV,Absorption
202,Si,1.165,eV,Absorption
203,Si,1.16,eV,Absorption
204,Si,1.16,eV,Absorption
205,Si,1.12,eV,Absorption
