,index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
0,0,Li1F1,13.105,eV,Reflection,1
6,6,Li1Cl1,9.33,eV,Reflection,1
7,7,Li1Br1,7.95,eV,Absorption,1
9,9,Li3Sb1,1.0,eV,Thermal activation,1
10,10,Li1I1,6.0,eV,Reflection,1
15,15,Li3Bi1,0.7,eV,Thermal activation,1
16,16,Be1O1,10.48,eV,Reflection,1
22,22,Be1S1,4.17,eV,SCOPW,1
23,23,Be1Se1,3.61,eV,SCOPW,1
24,24,Be3Sb2,0.67,eV,Thermal activation,1
25,25,Be1Te1,2.89,eV,SCOPW,1
26,26,B1,0.93,eV,Absorption,1
37,37,B1N1,8.0,eV,APW,1
40,40,B2O3,7.0,eV,,1
42,42,B1P1,2.0,eV,Absorption,1
47,47,B1As1,1.46,eV,Absorption,1
50,51,B1Sb1,2.6,eV,,1
51,52,C,6.244999999999999,eV,Absorption,1
59,60,C1Br4,3.7,eV,Absorption,1
60,61,C1I4,2.26,eV,Absorption,1
61,63,Na1F1,10.5,eV,,1
62,64,Na2S1,2.4,eV,Estimated,1
63,65,Na1Cl1,8.97,eV,Absorption,1
69,71,Na2Se1,2.0,eV,Estimated,1
70,72,Na1Br1,7.5,eV,Absorption,1
74,76,Na3Sb1,1.1,eV,Absorption,1
80,82,Na2Te1,2.3,eV,Thermal activation,1
82,84,Na1I1,5.89,eV,Reflection,1
87,89,Mg1O1,7.77,eV,Reflection,1
90,92,Mg1F2,11.8,eV,Reflection,1
94,97,Mg2Si1,1.435,eV,Estimated,1
102,105,Mg3P2,1.4,eV,Estimated,1
103,107,Mg2Ge1,1.0859999999999999,eV,Absorption,1
119,123,Mg3As2,2.55,eV,Thermal activation,1
121,125,Mg1Se1,5.6,eV,Absorption,1
124,128,Mg2Sn1,0.1575,eV,Absorption,1
133,137,Mg3Sb2,0.82,eV,,1
135,139,Mg1Te1,4.7,eV,,1
137,141,Mg2Pb1,0.041,eV,Thermal activation,1
140,144,Mg3Bi2,0.1,eV,Estimated,1
