,,,chemicalFormula,Band gap values Clean,,,,,Reliability,,,,,,properties,references,Crystallinity value,,Band gap units,Band gap conditions,Band gap method,Morphology value,Temperature derivative of band gap value,Temperature derivative of band gap units,Temperature derivative of band gap conditions,Temperature derivative of band gap method,Color value,Electroluminescence value,Photoluminescence value,Thermoluminescence value,Phase values,Cathodoluminescence value,Mechanical luminescence value,Lasing value
0,1,,Li1F1,13.6,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '13.6'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
1,2,,Li1F1,12.61,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '12.61'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
2,3,,Li1F1,12.6,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '12.6'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}], 'method': {'name': 'Estimated'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}]",Estimated,,,,,,,,,,,,,
3,4,,Li1F1,12.1,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '12.1'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
4,5,,Li1F1,12,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '12'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '200'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '200'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
5,6,,Li1F1,11.7,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '11.7'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Absorption,,,,,,,,,,,,,
6,7,,Li1Cl1,9.33,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '9.33'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
7,8,,Li1Br1,7.95,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '7.95'}], 'units': 'eV', 'conditions': [{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}], 'method': {'name': 'Absorption'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",Absorption,Thin film,,,,,,,,,,,,
8,9,,Li1Br1,7.5,,,,,2,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Single crystalline'}]}, {'name': 'Band gap', 'scalars': [{'value': '7.5'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}], 'method': {'name': 'Reflection'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Single crystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '55'}], 'units': 'K'}]",Reflection,,,,,,,,,,,,,
9,10,,Li3Sb1,1,,,,,1,,,,,,"[{'name': 'Crystallinity', 'scalars': [{'value': 'Polycrystalline'}]}, {'name': 'Morphology', 'scalars': [{'value': 'Thin film'}]}, {'name': 'Band gap', 'scalars': [{'value': '1'}], 'units': 'eV', 'conditions': [{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}], 'method': {'name': 'Thermal activation'}, 'dataType': 'EXPERIMENTAL'}]",[{'doi': '10.1063/1.3253115'}],Polycrystalline,,eV,"[{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",Thermal activation,Thin film,,,,,,,,,,,,
