chemicalFormula Clean,Band gap values Clean,Reliability
Li1F1,13.6,1
Li1F1,12.61,1
Li1F1,12.6,2
Li1F1,12.1,2
Li1F1,12,2
Li1F1,11.7,2
Li1Cl1,9.33,1
Li1Br1,7.95,1
Li1Br1,7.5,2
Li3Sb1,1,1
Li1I1,6,1
Li1I1,6,2
Li1I1,5.62,2
Li1I1,5.9,2
Li1I1,6.3,2
Li3Bi1,0.7,1
Be1O1,10.39,1
Be1O1,10.57,1
Be1O1,11.2,2
Be1O1,11.6,2
Be1O1,14.5,2
Be1O1,5.2,2
Be1S1,4.17,1
Be1Se1,3.61,1
Be3Sb2,0.67,1
Be1Te1,2.89,1
B1,0.93,1
B1,1.47,2
B1,1.53,2
B1,0.74,2
B1,1.16,2
B1,1.27,2
B1,1.38,2
B1,1.41,2
B1,1.42,2
B1,1.44,2
B1,1.55,2
B1N1,8,1
B1N1,3.4,2
B1N1,3.8,2
B2O3,7,1
B2O3,4.9,2
B1P1,2,1
B1P1,2,2
B1P1,2,2
B1P1,5.9,2
B1P1,4.5,2
B1As1,1.46,1
B1As1,1.6,2
B1As1,3.56,2
B2Se3,,2
B1Sb1,2.6,1
C,5.47,1
C,7.02,1
C,5.413,2
C,5.493,2
C,5.503,2
C,5.542,2
C,5.41,2
C,6,2
C1Br4,3.7,1
C1I4,2.26,1
NaN,,2
Na1F1,10.5,1
Na2S1,2.4,1
Na1Cl1,8.97,1
Na1Cl1,8.5,2
Na1Cl1,8.6,2
Na1Cl1,8.97,2
Na1Cl1,8.4,2
Na1Cl1,8.6,2
Na2Se1,2,1
Na1Br1,7.5,1
Na1Br1,7.26,2
Na1Br1,7.025,2
Na1Br1,7.7,2
Na3Sb1,1.1,1
Na3Sb1,1.1,2
Na3Sb1,1.1,2
Na3Sb1,1.17,2
Na3Sb1,1,2
Na3Sb1,2.2,2
Na2Te1,2.3,1
Na2Te1,2,2
Na1I1,5.89,1
Na1I1,6,2
Na1I1,5.93,2
Na1I1,5.8,2
Na1I1,6.75,2
Mg1O1,7.77,1
Mg1O1,7.69,2
Mg1O1,7.4,2
Mg1F2,11.8,1
Mg1F2,11.1,2
Mg1F2,10.8,2
Mg1F2,5.65,2
Mg1F2,,2
Mg2Si1,0.6,1
Mg2Si1,2.27,1
Mg2Si1,0.77,2
Mg2Si1,0.78,2
Mg2Si1,0.655,2
Mg2Si1,2.17,2
Mg2Si1,0.66,2
Mg2Si1,2.27,2
Mg3P2,1.4,1
Mg1Cl1,,2
Mg2Ge1,0.532,1
Mg2Ge1,1.64,1
Mg2Ge1,0.69,2
Mg2Ge1,0.57,2
Mg2Ge1,1.804,2
Mg2Ge1,0.66,2
Mg2Ge1,0.567,2
Mg2Ge1,0.57,2
Mg2Ge1,1.67,2
Mg2Ge1,1.78,2
Mg2Ge1,0.63,2
Mg2Ge1,0.54,2
Mg2Ge1,1.737,2
Mg2Ge1,0.548,2
Mg2Ge1,1.64,2
Mg2Ge1,0.74,2
Mg3As2,2.55,1
Mg3As2,1,2
