"",1 2,3,,4 5,,6 7,8,,9,10,11,12,13,14 15
Entry,Compound,,,E(g),,Temp. dE/dT,R,,By,On,Tr,Effect,Color,R~£ Comment
No.,,,,(eV),,(Kelvin) (eV/Deg),,,,,,,,
1 Li,1 F,,,1 13.6,,300.0,1,,1,3,DD,,,532
2Li,1 F,,,1 12.61,,300.0,1,,1,3,E,,,532
3,Li 1 F,,,1 12.6,,.0,2,,9,3,E,,,384
4Li,1 F,,,1 12.1 .,,77.0,2,,2,3,U,,,313 ABSORPTION EDGE.
5,Li 1 F,,,1 12.,,200.0,2,,2,3,U,,,313 ABSORPTION EDGE.
6Li,1 F,,,1 11.7,,300.0,2,,2,3,U,,,313 ABSORPTION EDGE.
7,Li 1 CI,,,1 9.33,,55.0,1,,1,3,U,,,55 G EDGE.
8Li,1 Br,,,1 7.95,,80.0,1,,2,2,DD,,,501 TRANSITION GIS -> G1.
9Li,1 Br,,,1 7.5,,55.0,2,,1,3,U,,,55 GEDGE.
10,Li 3,Sb,,1 1.,,300.0,1,,4,2,U,,,246
11,Li 1 I,,,1 6.,,55.0,1,,1,3,U,,,55 LEDGE.
12,Li 1 I,,,1 6.,,.0,2,,9,0,I I,,,45
13,Li 1 I,,,1 5.62,,4.7,2,,2,2,E,,,45
14,Li 1 I,,,1 5.9,,80.0,2,,2,3,E,,,607
15,Li 1 I,,,1 6.3,,.0,2,,9,0,D I,,,45
16,Li 3,Bi,,1 .7,,300.0,1,,4,2,U,,,245 ACTIVATION ENERGY.
17,Be 1 0,,,1 10.39,,300.0 -3.00e-04,1,,1,3,E,,,531
18,Be 1 0,,,1 10.57,,300.0 -3.00e-04 -I,,,1,3,DD,,,531
19,Be 1 0,,,1 11.2,,300.0,2,,1,3,U,,,405
20,Be 1 0,,,"1 11.6,",,300.0,2,,0,0,U,EPT,WHITE,146
21,Be 1 0,,,1 14.5,,300.0,2,,0,0,U,,,569
22,Be 1 0,,,1 5.2,,300.0,2,,4,0,U,,,513
23,Be 1 S,,,1 4.17,,.0,1,,,,I I,,,"598 CALCULATED, SCOPW METHOD."
24,Be 1 Se,,,1 3.61,,.0,1,,,,I I,,,"598 CALCULATED, SCOPW METHOD."
25,Be 3,Sb,,2 .67,,300.0,1,,4,2,U,,,637
26,RE' 1,TE',,1 2.gg,,.0,1,,,,I I,,,"5gg CALCULATED, SCOPW METHOD."
27,B,,,.93,,300.0,1,,2,3,IAI,,,193
28,B,,,1.47,,300.0,2,,2,3,DAI,,,193
29,B,,,1.53,,300.0,2,,2,3,D I,,,95
30,B,,,.74,,300.0,2,,2,5,I I,,,454
31,B,,,1.16,,300.0,2,,3,3,U,,,10
