AtomicNumber_composition_average,AtomicRadii_composition_average,AtomicVolume_composition_average,AtomicWeight_composition_average,BCCefflatcnt_composition_average,BCCenergy_pa_composition_average,BCCfermi_composition_average,BCCmagmom_composition_average,BCCvolume_pa_composition_average,BCCvolume_padiff_composition_average,BoilingT_composition_average,BulkModulus_composition_average,Column_composition_average,CovalentRadii_composition_average,CovalentRadius_composition_average,Density_composition_average,ElasticModulus_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,Electronegativity_composition_average,FirstIonizationEnergy_composition_average,GSbandgap_composition_average,GSenergy_pa_composition_average,GSestBCClatcnt_composition_average,GSestFCClatcnt_composition_average,GSmagmom_composition_average,GSvolume_pa_composition_average,Group_composition_average,HHIp_composition_average,HHIr_composition_average,HeatCapacityMass_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,HeatVaporization_composition_average,ICSDVolume_composition_average,IonicRadii_composition_average,IonizationEnergy_composition_average,IsAlkali_composition_average,IsAlkalineEarth_composition_average,IsBCC_composition_average,IsBoron_composition_average,IsCarbon_composition_average,IsChalcogen_composition_average,IsDBlock_composition_average,IsFBlock_composition_average,IsFCC_composition_average,IsHalogen_composition_average,IsHexagonal_composition_average,IsMetal_composition_average,IsMetalloid_composition_average,IsMonoclinic_composition_average,IsNobleGas_composition_average,IsNonmetal_composition_average,IsOrthorhombic_composition_average,IsPnictide_composition_average,IsRareEarth_composition_average,IsRhombohedral_composition_average,IsSimpleCubic_composition_average,IsTetragonal_composition_average,IsTransitionMetal_composition_average,MeltingT_composition_average,MendeleevNumber_composition_average,MiracleRadius_composition_average,NUnfilled_composition_average,NValance_composition_average,NdUnfilled_composition_average,NdValence_composition_average,NfUnfilled_composition_average,NfValence_composition_average,NpUnfilled_composition_average,NpValence_composition_average,NsUnfilled_composition_average,NsValence_composition_average,Number_composition_average,Period_composition_average,Polarizability_composition_average,Row_composition_average,SecondIonizationEnergy_composition_average,ShearModulus_composition_average,SpaceGroupNumber_composition_average,SpecificHeatCapacity_composition_average,ThermalConductivity_composition_average,ThermalExpansionCoefficient_composition_average,ThirdIonizationEnergy_composition_average,n_ws^third_composition_average,phi_composition_average,valence_composition_average,index,Reliability,Band gap units,chemicalFormula Clean,Band gap values Clean
6.0,1.135,9311.576312704237,12.969701599999999,5.772385891500001,-1.346740955,-0.67987692,0.0,12.47,-0.6804166665,849.94,5.5,9.0,0.975,92.5,268.348,5.0,5.85,193.9,2.48,11.407259499999999,0.985,-1.78397393375,2.9506302835,3.717561205,0.0,13.150416666649999,9.0,2200.0,2850.0,2.203,28.082,1.6275,75.1849,19.0,1.045,1100.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,253.595,47.0,76.0,1.0,4.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,1.5,6.0,2.0,12.446,2.0,55.804,2.1,122.0,2.203,42.36395,923.0,92.579,0.49,1.425,1.0,0,1,eV,Li1F1,13.105
10.0,1.27,9169.525547822037,21.197000000000003,6.658640712,-1.41004024,1.2199612599999998,0.0,18.525,-2.0204166665,926.98,6.05,9.0,1.1099999999999999,115.0,269.107,5.0,5.85,204.3,2.0700000000000003,9.1796745,1.2465,-1.8271603325,3.4363760389999998,4.329562507,0.0,20.54541666665,9.0,2200.0,2600.0,2.0305,29.4045,3.1,78.64999999999999,25.3,1.2850000000000001,885.55,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,312.645,47.5,76.0,1.0,4.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,1.5,10.0,2.5,13.2575,2.5,50.224000000000004,2.1,146.5,2.0309999999999997,42.35445,23.0,81.03099999999999,0.49,1.425,4.0,6,1,eV,Li1Cl1,9.33
19.0,1.345,32.0359417020569,43.4225,6.9195182495,-1.432083285,1.1172118199999999,0.0,21.035,-2.0016666665,973.5,6.45,9.0,1.185,124.0,1827.5,5.0,5.85,192.20000000000002,1.97,8.602759500000001,0.7285,-1.72645612375,3.552843641,4.4763024905,0.0,23.03666666665,9.0,3100.0,5550.0,2.028,50.275,4.1425,80.9125,43.349999999999994,1.3599999999999999,829.95,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,359.745,48.0,76.0,1.0,9.0,0.0,5.0,0.0,0.0,0.5,2.5,0.5,1.5,19.0,3.0,13.6925,3.0,49.219,2.1,146.5,1.904,42.411,23.0,79.2255,0.49,1.425,4.0,7,1,eV,Li1Br1,7.95
15.0,1.56,23.705899420853747,35.64575,6.7042523935,-2.3716298675,2.2676969275,0.0,19.155,-1.17999999975,1676.25,18.75,4.5,1.2725,130.75,2075.5,24.25,9.424999999999999,70.1,1.2475,6.19588675,0.0,-2.4317557675,3.4055736262500003,4.29075389925,0.0,20.334999999975,4.5,4150.0,4000.0,2.73825,24.9525,7.1975,127.3175,23.750000000000004,0.76,598.425,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,566.2125,22.0,152.75,1.5,4.5,0.0,2.5,0.0,0.0,0.75,0.75,0.75,1.25,15.0,2.75,19.901249999999997,2.75,61.611000000000004,8.15,213.25,2.73825,69.60000000000001,37.25,98.16324999999999,1.05,3.2375000000000003,2.0,9,1,eV,Li3Sb1,1.0
28.0,1.44,32.1014577742546,66.922735,7.3435494355,-1.4595192149999998,2.36022058,0.0,25.935000000000002,-3.8691666665,1036.15,9.35,9.0,1.28,133.5,2737.5,5.0,5.850000000004999,177.55,1.82,7.9214895,0.531,-1.68764466375,3.8140444985,4.8053949495,0.0,29.804166666649998,9.0,3900.0,4500.0,1.898,39.644999999999996,5.38,84.0,32.05,1.48,764.2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,420.27,48.5,76.0,1.0,9.0,0.0,5.0,0.0,0.0,0.5,2.5,0.5,1.5,28.0,3.5,14.68,3.5,47.8845,2.1,146.5,1.8635,42.5745,66.5,77.7255,0.49,1.425,4.0,10,1,eV,Li1I1,6.0
23.0,1.5875000000000001,25.028908330458073,57.45085,6.767747705000001,-2.37299702,2.286195795,0.0,19.86,-0.82249999975,1670.5,16.0,4.5,1.2875,133.0,2846.25,16.0,8.999999999999998,72.35,1.24,5.865164249999999,0.0,-2.3958387825,3.41997761825,4.308901792,0.0,20.682499999975,4.5,3500.0,4650.0,2.7169999999999996,25.025,5.0265,155.075,25.025000000000002,0.8275000000000001,565.825,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,476.36749999999995,22.25,154.5,1.5,8.0,0.0,2.5,0.0,3.5,0.75,0.75,0.75,1.25,23.0,3.0,18.35125,3.0,61.65025000000001,6.15,174.75,2.7169999999999996,65.4925,37.85,98.228,1.025,3.1750000000000003,2.0,15,1,eV,Li3Bi1,0.7
6.0,0.925,9300.147671472425,12.505790999999999,4.9461018395,-3.05751176,5.58482128,0.0,7.5649999999999995,-0.9325,1416.55,65.0,9.0,0.815,81.0,924.7145,150.5,12.5,-49.45,2.505,11.470375,0.0,-4.2559153,2.569566634,3.2374510915,0.0,8.4975,9.0,4250.0,2250.0,1.3715,22.9105,4.0575,150.20545,12.7,0.9249999999999999,1106.65,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,807.4,77.0,88.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,6.0,2.0,3.2009999999999996,2.0,26.663999999999998,66.0,103.0,1.3725,100.1337,395.65,104.4135,0.835,2.525,2.0,16,1,eV,Be1O1,10.48
10.0,1.195,17.632361125060495,20.538590999999997,5.648132565,-3.32903053,7.930847545,0.0,11.709999999999999,-5.1284374999999995,1730.3600000000001,68.85,9.0,0.96,100.5,1904.0,160.0,12.5,-19.790000000000006,2.075,9.841355,1.101,-3.9261277068750005,3.115262018,3.9249841925,0.0,16.838437499999998,9.0,4350.0,2500.0,1.2665,19.5715,4.808,153.5,16.9,0.37,949.49,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,974.1800000000001,77.5,107.5,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,10.0,2.5,4.25,2.5,20.7705,66.0,132.0,1.2675,100.1345,40.65,94.3615,0.835,2.525,4.0,22,1,eV,Be1S1,4.17
19.0,1.26,17.653490540638696,43.986090999999995,5.9282803865,-3.27800651,6.853934815000001,0.0,13.985000000000001,-2.92,1850.5,69.15,9.0,1.03,108.0,3333.5,160.5,16.5,-22.519999999999996,2.06,9.537545,0.3995,-3.6129153025000003,3.1184592440000003,3.929012445,0.0,16.905,9.0,5100.0,5000.0,1.073,20.903,7.2925,161.66,18.95,0.475,920.15,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,78.0,115.0,1.0,9.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,2.0,19.0,3.0,4.685,3.0,19.700499999999998,67.85,104.0,1.0725,101.02,28.15,92.3565,0.835,2.525,4.0,23,1,eV,Be1Se1,3.61
22.799999999999997,1.308,16.935475250785515,54.1113092,6.0255657292,-3.7491291980000003,8.213330163999998,0.0,15.516,-1.8419999999999999,2389.8,94.8,7.2,1.1,113.2,3787.6000000000004,207.4,16.04,-103.6,1.762,9.036976,0.0,-3.8999681529999997,3.097576485,3.9027018174,0.0,17.357999999999997,7.2,7960.0,3760.0,1.1778,19.957800000000002,12.652999999999999,205.38799999999998,16.939999999999998,0.5740000000000001,873.12,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,1297.512,74.2,129.2,1.2,7.2,0.0,4.0,0.0,0.0,1.2,1.2,0.0,2.0,22.799999999999997,3.2,5.999999999999999,3.2,17.5386,87.2,182.8,1.1778,129.72,11.180000000000001,102.4558,1.506,4.79,3.2,24,1,eV,Be3Sb2,0.67
28.0,1.36,21.027432588998494,68.306091,6.338143604,-3.244695165,8.027011625,0.0,18.05,-3.2766666664999997,2002.0,97.5,9.0,1.1300000000000001,117.0,4044.0,170.5,12.5001,-24.924999999999997,1.835,9.16615,0.232,-3.448170600835,3.3101072589999996,4.1704738135,0.0,21.32666666665,9.0,5450.0,4450.0,1.0135,21.0865,12.6375,173.815,21.0,0.71,884.3,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.33,78.5,126.0,1.0,9.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,2.0,28.0,3.5,5.55,3.5,18.4055,74.0,173.0,1.0135,101.175,15.05,90.9265,0.835,2.525,4.0,25,1,eV,Be1Te1,2.89
